Rank,Company,Headquarters,Industry,Employees,Reference date
1,ISS,"Copenhagen, Denmark",Facility Management,534500,2011[21]
2,Securitas,"Stockholm, Sweden",Security Services,335945,2016[22]
3,Nokia,"Espoo, Finland",Technology,130050,2011[23]
4,A.P. MÃ¸ller-Maersk,"Copenhagen, Denmark",Transportation,117080,2011[24]
5,Ericsson,"Stockholm, Sweden",Telecommunication,104525,2011[25]
6,Volvo,"Gothenburg, Sweden",Automotive,98162,2011[26]
7,H&M,"Stockholm, Sweden",Retailing,64874,2011[27]
8,Electrolux,"Stockholm, Sweden",Manufacturing,52916,2011[28]
9,Skanska,"Stockholm, Sweden",Construction,52557,2011[29]
10,Sandvik,"Sandviken, Sweden",Capital goods,50030,2011[30]
